text|label
北京今天的天气怎么样？|1
苹果公司的CEO是谁？|1
2加2等于多少？|0
红烧肉怎么做？|1
中国最长的河流是哪条河？|1
谁是中国古代四大美女之一？|1
圆的面积公式是什么？|0
世界上最高的山峰叫什么名字？|1
水的化学式是什么？|0
明天上海会下雨吗？|1
2025年春节是哪一天？|1
What is the capital of France?|0
制作一杯卡布奇诺的步骤是什么？|1
氢氧化钠的化学式是什么？|0
谁赢得了2024年的诺贝尔物理学奖？|1
How to say 'hello' in Japanese?|0
四川火锅的主要配料有哪些？|1
地球与月球之间的平均距离是多少公里？|1
求直角三角形斜边长度的公式是什么？|0
中国第一位航天员是谁？|1
北京烤鸭的传统吃法是什么？|1
What does 'bonjour' mean in English?|0
如何在家里自制酸奶？|1
元素周期表中金的原子序数是多少？|0
谁是NBA历史上得分最多的球员？|1
The square root of 169 is?|0
中国古代的长城主要用来做什么的？|1
全球最高的建筑物是哪一座？|1
计算圆柱体体积的公式是什么？|0
明天广州的天气预报如何？|1
2025年诺贝尔文学奖得主是谁？|1
What is the boiling point of water in Celsius?|0
如何在家制作意大利面酱？|1
太阳系中最大的行星是哪一个？|0
全球最深的海沟叫什么名字？|1
How do you convert Fahrenheit to Celsius?|0
中国传统节日端午节通常吃什么食物？|1
DNA的全称是什么？|0
谁是《哈利·波特》系列小说的作者？|0
上海迪士尼乐园什么时候开业的？|1
现代奥林匹克运动会最早是在哪一年举办的？|1
What is the chemical symbol for gold?|0
描述一下如何进行心肺复苏(CPR)。|1
人体中最大的器官是什么？|0
中国哪个城市被称为“东方之珠”？|1
The formula for calculating speed is?|0
什么是量子计算机？|1
世界上最长的跨海大桥在哪里？|1
计算一个球体表面积的公式是什么？|0
巴黎圣母院在何时开始建造的？|1
What does 'photosynthesis' mean in Chinese?|0
中国古代的科举制度始于何时？|1
怎样种植番茄才能获得丰收？|1
氧气的化学符号是什么？|0
日本的国花是什么？|0
Who painted the Mona Lisa?|0
中国的高铁网络覆盖了多少个城市？|1
解释一下人工智能（AI）的概念。|1
世界上第一台电子计算机诞生于哪一年？|0
明天北京的天气预报会降温吗？|1
谁是2024年奥斯卡最佳导演奖得主？|1
What is the capital of Australia?|0
如何制作一杯完美的拿铁咖啡？|1
太阳系中离太阳最近的行星是哪一个？|0
全球最大的沙漠是什么沙漠？|1
How many continents are there on Earth?|0
中秋节的传统食物是什么？|1
光速大约是多少千米每秒？|0
《百年孤独》的作者是谁？|0
北京奥运会是哪一年举办的？|0
全球最高的瀑布位于哪个国家？|1
What is the largest ocean on Earth?|0
描述一下瑜伽的基本姿势有哪些？|1
人体正常体温范围是多少？|0
中国最长的桥叫什么名字？|1
The formula for calculating acceleration is?|0
什么是区块链技术？|1
世界上面积最大的国家是哪个？|0
计算圆锥体积的公式是什么？|0
伦敦塔桥建于哪一年？|1
Who invented the telephone?|0
中国古代四大发明之一的造纸术是由谁改进推广的？|1
怎样在家制作无麸质面包？|1
碳元素的原子序数是多少？|0
巴西的官方语言是什么？|0
What does 'serendipity' mean in Chinese?|0
中国的少数民族有多少个？|0
世界著名的埃菲尔铁塔位于哪个城市？|0
解释一下云计算的概念。|1
明天深圳的天气预报会有雷阵雨吗？|1
全球最受欢迎的旅游目的地是哪里？|1
What is the square root of 256?|0
如何在家里自制冰淇淋？|1
地球上最深的湖泊是什么湖？|1
美国的国鸟是什么？|0
How do you say 'good morning' in Spanish?|0
中国传统建筑中常使用的屋顶样式有哪些？|1
